"respID","obsID","alt","choice","price","fuelEconomy","accelTime","powertrain"
1,1,1,0,25,30,7,"elec"
1,1,2,0,25,20,7,"gas"
1,1,3,1,25,30,7,"gas"
1,2,1,0,25,20,6,"gas"
1,2,2,0,25,20,8,"elec"
1,2,3,1,15,20,7,"gas"
1,3,1,0,15,25,6,"elec"
1,3,2,1,15,30,7,"gas"
1,3,3,0,25,30,8,"gas"
1,4,1,0,20,20,8,"elec"
1,4,2,0,25,30,8,"gas"
1,4,3,1,20,25,7,"elec"
1,5,1,0,20,30,7,"gas"
1,5,2,1,15,30,7,"elec"
1,5,3,0,25,25,8,"gas"
1,6,1,0,25,25,8,"elec"
1,6,2,0,20,20,8,"elec"
1,6,3,1,25,25,6,"gas"
1,7,1,1,15,20,8,"elec"
1,7,2,0,25,20,7,"gas"
1,7,3,0,25,20,8,"elec"
1,8,1,0,15,30,6,"elec"
1,8,2,0,20,20,6,"elec"
1,8,3,1,15,30,8,"gas"
1,9,1,0,25,25,7,"gas"
1,9,2,1,20,20,7,"gas"
1,9,3,0,25,25,6,"elec"
1,10,1,0,15,30,8,"gas"
1,10,2,1,15,25,6,"gas"
1,10,3,0,15,30,6,"elec"
2,11,1,1,15,30,8,"gas"
2,11,2,0,20,20,7,"gas"
2,11,3,0,20,20,7,"elec"
2,12,1,0,25,20,7,"elec"
2,12,2,1,20,25,8,"gas"
2,12,3,0,25,25,8,"elec"
2,13,1,0,20,25,7,"elec"
2,13,2,0,25,30,6,"gas"
2,13,3,1,15,30,6,"elec"
2,14,1,0,25,25,6,"elec"
2,14,2,1,15,30,6,"elec"
2,14,3,0,15,30,8,"gas"
2,15,1,0,15,20,7,"elec"
2,15,2,1,15,25,8,"gas"
2,15,3,0,25,30,7,"elec"
2,16,1,0,20,20,7,"elec"
2,16,2,0,20,30,8,"elec"
2,16,3,1,20,25,6,"gas"
2,17,1,0,25,25,8,"gas"
2,17,2,1,20,30,8,"gas"
2,17,3,0,15,25,7,"elec"
2,18,1,0,20,20,7,"elec"
2,18,2,0,25,25,6,"gas"
2,18,3,1,15,20,6,"elec"
2,19,1,0,20,25,6,"elec"
2,19,2,0,20,20,7,"elec"
2,19,3,1,15,25,7,"gas"
2,20,1,0,20,30,8,"elec"
2,20,2,1,15,30,6,"gas"
2,20,3,0,20,30,8,"gas"
3,21,1,1,20,30,8,"gas"
3,21,2,0,25,30,7,"gas"
3,21,3,0,25,20,7,"elec"
3,22,1,0,20,30,6,"elec"
3,22,2,0,25,30,6,"elec"
3,22,3,1,15,20,8,"elec"
3,23,1,0,20,30,6,"elec"
3,23,2,0,15,30,8,"elec"
3,23,3,1,20,30,6,"gas"
3,24,1,1,15,30,6,"gas"
3,24,2,0,25,25,6,"elec"
3,24,3,0,25,20,8,"gas"
3,25,1,0,20,30,7,"elec"
3,25,2,0,25,20,8,"elec"
3,25,3,1,15,30,7,"elec"
3,26,1,0,20,30,6,"elec"
3,26,2,1,20,30,7,"gas"
3,26,3,0,15,30,8,"elec"
3,27,1,0,20,20,8,"gas"
3,27,2,1,15,30,7,"gas"
3,27,3,0,25,25,6,"elec"
3,28,1,1,25,25,6,"gas"
3,28,2,0,25,20,7,"gas"
3,28,3,0,20,25,8,"elec"
3,29,1,1,20,20,8,"elec"
3,29,2,0,25,25,8,"gas"
3,29,3,0,20,30,7,"elec"
3,30,1,0,25,30,8,"gas"
3,30,2,0,15,25,7,"elec"
3,30,3,1,15,20,7,"gas"
4,31,1,1,20,25,8,"gas"
4,31,2,0,25,25,8,"gas"
4,31,3,0,25,30,7,"gas"
4,32,1,1,15,30,8,"gas"
4,32,2,0,20,25,8,"gas"
4,32,3,0,20,30,8,"elec"
4,33,1,0,25,25,6,"gas"
4,33,2,1,15,20,8,"gas"
4,33,3,0,20,20,8,"gas"
4,34,1,0,25,30,8,"elec"
4,34,2,0,25,20,8,"elec"
4,34,3,1,25,20,6,"elec"
4,35,1,1,15,30,7,"gas"
4,35,2,0,25,25,6,"elec"
4,35,3,0,25,20,6,"elec"
4,36,1,0,25,25,7,"elec"
4,36,2,1,15,20,7,"gas"
4,36,3,0,25,30,6,"elec"
4,37,1,0,25,25,6,"elec"
4,37,2,1,20,25,6,"gas"
4,37,3,0,25,20,6,"gas"
4,38,1,0,20,20,7,"gas"
4,38,2,0,20,20,6,"elec"
4,38,3,1,20,25,6,"gas"
4,39,1,1,15,20,8,"gas"
4,39,2,0,25,30,8,"gas"
4,39,3,0,20,25,7,"elec"
4,40,1,0,25,25,8,"elec"
4,40,2,0,25,30,6,"elec"
4,40,3,1,15,25,8,"gas"
5,41,1,1,15,20,6,"gas"
5,41,2,0,25,30,6,"gas"
5,41,3,0,25,20,7,"elec"
5,42,1,0,15,30,6,"elec"
5,42,2,0,25,30,6,"elec"
5,42,3,1,20,25,7,"gas"
5,43,1,0,20,30,6,"gas"
5,43,2,1,15,20,8,"elec"
5,43,3,0,20,25,6,"gas"
5,44,1,0,20,20,8,"elec"
5,44,2,0,25,30,8,"gas"
5,44,3,1,15,20,7,"elec"
5,45,1,0,25,30,6,"elec"
5,45,2,1,20,25,7,"gas"
5,45,3,0,20,20,8,"elec"
5,46,1,1,20,20,8,"gas"
5,46,2,0,25,30,7,"elec"
5,46,3,0,20,25,7,"gas"
5,47,1,1,15,20,8,"gas"
5,47,2,0,25,25,7,"gas"
5,47,3,0,20,30,6,"elec"
5,48,1,1,15,20,7,"elec"
5,48,2,0,25,20,8,"elec"
5,48,3,0,15,25,7,"elec"
5,49,1,0,25,20,7,"elec"
5,49,2,1,15,20,6,"gas"
5,49,3,0,20,30,7,"elec"
5,50,1,1,15,20,7,"gas"
5,50,2,0,25,25,7,"elec"
5,50,3,0,25,30,7,"elec"
6,51,1,1,20,30,8,"gas"
6,51,2,0,25,20,7,"elec"
6,51,3,0,20,20,6,"gas"
6,52,1,0,20,30,8,"elec"
6,52,2,1,15,25,8,"gas"
6,52,3,0,15,25,7,"gas"
6,53,1,0,25,25,6,"elec"
6,53,2,0,25,20,7,"elec"
6,53,3,1,15,30,8,"gas"
6,54,1,0,15,25,7,"elec"
6,54,2,1,15,20,7,"gas"
6,54,3,0,15,25,8,"elec"
6,55,1,1,15,30,7,"gas"
6,55,2,0,25,25,6,"gas"
6,55,3,0,25,20,8,"gas"
6,56,1,0,25,30,8,"elec"
6,56,2,0,20,25,7,"elec"
6,56,3,1,20,30,6,"gas"
6,57,1,0,25,25,6,"elec"
6,57,2,1,25,30,8,"gas"
6,57,3,0,25,25,8,"gas"
6,58,1,0,20,30,8,"elec"
6,58,2,0,20,20,8,"elec"
6,58,3,1,25,30,6,"gas"
6,59,1,0,25,20,8,"gas"
6,59,2,0,25,30,8,"elec"
6,59,3,1,15,20,6,"elec"
6,60,1,1,20,20,7,"gas"
6,60,2,0,25,20,6,"gas"
6,60,3,0,20,30,8,"elec"
7,61,1,1,20,20,6,"elec"
7,61,2,0,25,20,6,"elec"
7,61,3,0,20,30,8,"elec"
7,62,1,0,20,25,8,"elec"
7,62,2,0,25,25,6,"gas"
7,62,3,1,15,25,7,"elec"
7,63,1,0,25,25,8,"elec"
7,63,2,0,20,30,8,"elec"
7,63,3,1,15,20,6,"elec"
7,64,1,1,20,20,6,"gas"
7,64,2,0,20,25,8,"elec"
7,64,3,0,15,30,6,"elec"
7,65,1,1,15,30,6,"gas"
7,65,2,0,25,30,7,"elec"
7,65,3,0,25,25,6,"gas"
7,66,1,0,15,25,6,"gas"
7,66,2,1,15,25,8,"gas"
7,66,3,0,25,30,6,"gas"
7,67,1,0,25,25,7,"elec"
7,67,2,0,20,20,6,"elec"
7,67,3,1,15,20,8,"elec"
7,68,1,0,25,25,8,"elec"
7,68,2,1,15,25,6,"gas"
7,68,3,0,20,25,7,"elec"
7,69,1,0,20,20,8,"elec"
7,69,2,1,15,20,7,"gas"
7,69,3,0,25,25,6,"gas"
7,70,1,0,15,30,6,"elec"
7,70,2,0,15,20,8,"elec"
7,70,3,1,15,20,6,"gas"
8,71,1,0,20,25,6,"elec"
8,71,2,1,15,20,6,"elec"
8,71,3,0,25,20,7,"elec"
8,72,1,1,15,30,8,"elec"
8,72,2,0,25,30,6,"elec"
8,72,3,0,25,25,7,"elec"
8,73,1,1,15,25,8,"gas"
8,73,2,0,20,20,7,"gas"
8,73,3,0,25,20,6,"gas"
8,74,1,1,20,20,8,"gas"
8,74,2,0,20,30,8,"elec"
8,74,3,0,15,20,7,"elec"
8,75,1,0,25,30,8,"elec"
8,75,2,1,15,25,7,"elec"
8,75,3,0,20,30,7,"elec"
8,76,1,0,25,20,8,"gas"
8,76,2,1,15,25,7,"elec"
8,76,3,0,25,30,7,"gas"
8,77,1,1,15,25,8,"gas"
8,77,2,0,20,25,7,"elec"
8,77,3,0,25,30,8,"gas"
8,78,1,0,25,30,8,"gas"
8,78,2,1,15,30,8,"elec"
8,78,3,0,25,20,6,"elec"
8,79,1,0,25,25,7,"elec"
8,79,2,1,25,20,6,"gas"
8,79,3,0,25,20,8,"elec"
8,80,1,0,25,30,7,"elec"
8,80,2,1,15,30,7,"elec"
8,80,3,0,15,30,8,"gas"
9,81,1,0,20,25,7,"gas"
9,81,2,1,15,25,6,"gas"
