"respID","obsID","alt","choice","price","fuelEconomy","accelTime","powertrain","group"
1,1,1,1,15,25,8,"elec","A"
1,1,2,0,20,25,7,"gas","A"
1,1,3,0,20,20,6,"gas","A"
1,2,1,0,20,20,8,"elec","A"
1,2,2,1,20,20,6,"gas","A"
1,2,3,0,25,30,6,"gas","A"
1,3,1,0,25,30,6,"elec","A"
1,3,2,0,15,25,6,"elec","A"
1,3,3,1,15,30,8,"gas","A"
1,4,1,1,15,20,7,"gas","A"
1,4,2,0,20,25,6,"elec","A"
1,4,3,0,15,20,8,"gas","A"
1,5,1,1,15,30,8,"elec","A"
1,5,2,0,20,30,7,"elec","A"
1,5,3,0,25,30,7,"elec","A"
1,6,1,1,20,20,6,"gas","A"
1,6,2,0,20,20,7,"elec","A"
1,6,3,0,25,25,7,"gas","A"
1,7,1,1,15,30,6,"gas","A"
1,7,2,0,20,25,7,"elec","A"
1,7,3,0,25,20,6,"gas","A"
1,8,1,1,15,25,6,"elec","A"
1,8,2,0,25,25,7,"gas","A"
1,8,3,0,20,25,8,"elec","A"
1,9,1,1,15,30,7,"gas","A"
1,9,2,0,20,25,8,"elec","A"
1,9,3,0,20,25,6,"elec","A"
1,10,1,0,25,30,6,"gas","A"
1,10,2,0,25,30,7,"elec","A"
1,10,3,1,15,25,7,"elec","A"
2,11,1,0,25,20,6,"gas","A"
2,11,2,1,15,30,8,"gas","A"
2,11,3,0,15,20,7,"elec","A"
2,12,1,0,15,25,7,"gas","A"
2,12,2,0,20,25,6,"gas","A"
2,12,3,1,15,30,8,"elec","A"
2,13,1,1,15,25,8,"gas","A"
2,13,2,0,15,25,7,"elec","A"
2,13,3,0,25,30,6,"gas","A"
2,14,1,1,15,20,7,"elec","A"
2,14,2,0,25,30,7,"elec","A"
2,14,3,0,20,20,7,"elec","A"
2,15,1,0,25,20,8,"gas","A"
2,15,2,0,15,20,8,"elec","A"
2,15,3,1,20,20,6,"gas","A"
2,16,1,0,20,20,6,"elec","A"
2,16,2,0,25,25,6,"gas","A"
2,16,3,1,20,25,8,"gas","A"
2,17,1,1,15,25,6,"gas","A"
2,17,2,0,20,25,6,"elec","A"
2,17,3,0,25,20,7,"gas","A"
2,18,1,0,25,25,6,"gas","A"
2,18,2,1,15,25,7,"gas","A"
2,18,3,0,15,30,7,"elec","A"
2,19,1,1,15,25,6,"elec","A"
2,19,2,0,25,30,7,"gas","A"
2,19,3,0,20,30,7,"elec","A"
2,20,1,1,15,30,6,"elec","A"
2,20,2,0,20,25,7,"elec","A"
2,20,3,0,25,20,8,"elec","A"
3,21,1,0,25,30,8,"gas","A"
3,21,2,1,20,25,8,"gas","A"
3,21,3,0,20,25,6,"elec","A"
3,22,1,1,15,20,6,"gas","A"
3,22,2,0,20,20,8,"elec","A"
3,22,3,0,20,30,8,"gas","A"
3,23,1,0,15,20,6,"elec","A"
3,23,2,0,25,30,6,"elec","A"
3,23,3,1,15,20,7,"gas","A"
3,24,1,0,15,25,8,"elec","A"
3,24,2,0,20,30,6,"gas","A"
3,24,3,1,15,30,7,"gas","A"
3,25,1,1,15,20,8,"elec","A"
3,25,2,0,25,25,6,"gas","A"
3,25,3,0,15,25,8,"elec","A"
3,26,1,0,25,25,7,"elec","A"
3,26,2,0,15,30,8,"elec","A"
3,26,3,1,15,30,8,"gas","A"
3,27,1,1,20,30,6,"gas","A"
3,27,2,0,20,20,7,"elec","A"
3,27,3,0,15,25,6,"elec","A"
3,28,1,0,25,20,7,"gas","A"
3,28,2,0,25,30,8,"elec","A"
3,28,3,1,20,20,7,"gas","A"
3,29,1,0,20,30,7,"elec","A"
3,29,2,1,20,30,8,"gas","A"
3,29,3,0,25,20,8,"gas","A"
3,30,1,0,25,25,7,"gas","A"
3,30,2,1,15,20,6,"elec","A"
3,30,3,0,20,20,6,"elec","A"
4,31,1,0,25,20,8,"elec","A"
4,31,2,1,15,30,6,"gas","A"
4,31,3,0,25,30,7,"gas","A"
4,32,1,1,20,20,6,"gas","A"
4,32,2,0,25,30,7,"gas","A"
4,32,3,0,20,30,8,"elec","A"
4,33,1,1,15,30,6,"elec","A"
4,33,2,0,15,30,8,"elec","A"
4,33,3,0,25,30,8,"gas","A"
4,34,1,0,25,30,7,"gas","A"
4,34,2,1,15,20,6,"elec","A"
4,34,3,0,25,30,6,"gas","A"
4,35,1,0,20,30,7,"gas","A"
4,35,2,0,25,20,8,"elec","A"
4,35,3,1,25,25,6,"gas","A"
4,36,1,0,25,20,6,"elec","A"
4,36,2,1,15,20,8,"elec","A"
4,36,3,0,25,25,8,"elec","A"
4,37,1,0,20,30,7,"elec","A"
4,37,2,0,25,20,7,"elec","A"
4,37,3,1,20,20,7,"gas","A"
4,38,1,1,15,20,7,"gas","A"
4,38,2,0,20,20,6,"elec","A"
4,38,3,0,15,25,6,"elec","A"
4,39,1,0,15,30,7,"gas","A"
4,39,2,0,20,30,7,"gas","A"
4,39,3,1,15,25,6,"gas","A"
4,40,1,0,25,25,6,"gas","A"
4,40,2,0,15,20,8,"elec","A"
4,40,3,1,15,20,6,"gas","A"
5,41,1,1,15,30,8,"elec","A"
5,41,2,0,25,30,6,"elec","A"
5,41,3,0,25,20,8,"gas","A"
5,42,1,1,20,30,7,"gas","A"
5,42,2,0,20,30,7,"elec","A"
5,42,3,0,25,25,7,"gas","A"
5,43,1,0,20,25,8,"elec","A"
5,43,2,0,20,20,6,"elec","A"
5,43,3,1,20,20,7,"elec","A"
5,44,1,0,25,25,6,"elec","A"
5,44,2,0,15,25,8,"elec","A"
5,44,3,1,20,25,7,"gas","A"
5,45,1,0,25,25,8,"elec","A"
5,45,2,1,15,20,7,"gas","A"
5,45,3,0,15,25,8,"elec","A"
5,46,1,1,25,30,6,"gas","A"
5,46,2,0,25,30,8,"elec","A"
5,46,3,0,25,25,7,"elec","A"
5,47,1,0,25,30,8,"elec","A"
5,47,2,1,15,20,7,"gas","A"
5,47,3,0,15,20,8,"gas","A"
5,48,1,0,20,25,6,"elec","A"
5,48,2,0,20,25,7,"elec","A"
5,48,3,1,15,25,7,"elec","A"
5,49,1,0,25,30,6,"elec","A"
5,49,2,0,25,20,7,"gas","A"
5,49,3,1,15,25,8,"elec","A"
5,50,1,1,15,25,6,"elec","A"
5,50,2,0,25,25,8,"gas","A"
5,50,3,0,20,30,6,"elec","A"
6,51,1,0,20,30,7,"gas","A"
6,51,2,0,20,30,6,"gas","A"
6,51,3,1,15,30,8,"elec","A"
6,52,1,1,15,30,6,"elec","A"
6,52,2,0,20,25,6,"elec","A"
6,52,3,0,15,25,8,"elec","A"
6,53,1,0,20,30,7,"elec","A"
6,53,2,0,25,25,7,"elec","A"
6,53,3,1,20,30,8,"gas","A"
6,54,1,1,15,25,8,"gas","A"
6,54,2,0,25,25,8,"elec","A"
