"obsID","alt","choice","price","fuelEconomy","accelTime","powertrain","outsideGood"
1,1,0,15,30,7,"elec",0
1,2,0,15,25,8,"elec",0
1,3,0,20,20,8,"elec",0
1,4,1,0,0,0,"gas",1
2,1,0,15,25,7,"elec",0
2,2,0,25,25,8,"gas",0
2,3,0,15,25,7,"gas",0
2,4,1,0,0,0,"gas",1
3,1,0,15,30,6,"elec",0
3,2,0,25,20,7,"gas",0
3,3,0,25,30,8,"elec",0
3,4,1,0,0,0,"gas",1
4,1,0,20,30,7,"gas",0
4,2,0,25,20,8,"gas",0
4,3,0,20,20,8,"elec",0
4,4,1,0,0,0,"gas",1
5,1,0,25,25,7,"elec",0
5,2,0,20,20,8,"gas",0
5,3,0,15,25,6,"gas",0
5,4,1,0,0,0,"gas",1
6,1,0,25,25,8,"gas",0
6,2,0,20,20,7,"elec",0
6,3,0,15,25,8,"gas",0
6,4,1,0,0,0,"gas",1
7,1,0,15,20,8,"gas",0
7,2,0,25,25,8,"elec",0
7,3,0,25,25,7,"elec",0
7,4,1,0,0,0,"gas",1
8,1,0,15,20,7,"elec",0
8,2,0,15,20,6,"elec",0
8,3,0,20,20,8,"gas",0
8,4,1,0,0,0,"gas",1
9,1,0,15,20,6,"elec",0
9,2,0,25,30,7,"elec",0
9,3,0,25,30,7,"gas",0
9,4,1,0,0,0,"gas",1
10,1,0,20,30,7,"gas",0
10,2,0,15,30,6,"gas",0
10,3,0,20,20,6,"gas",0
10,4,1,0,0,0,"gas",1
11,1,0,25,20,8,"elec",0
11,2,0,25,20,6,"elec",0
11,3,0,20,25,7,"elec",0
11,4,1,0,0,0,"gas",1
12,1,0,25,25,8,"elec",0
12,2,0,20,25,8,"elec",0
12,3,0,15,20,8,"gas",0
12,4,1,0,0,0,"gas",1
13,1,0,25,20,6,"elec",0
13,2,0,20,25,7,"gas",0
13,3,0,25,30,7,"elec",0
13,4,1,0,0,0,"gas",1
14,1,0,20,20,8,"elec",0
14,2,0,25,30,7,"gas",0
14,3,0,15,20,7,"elec",0
14,4,1,0,0,0,"gas",1
15,1,0,15,30,8,"elec",0
15,2,0,15,20,7,"elec",0
15,3,0,20,20,8,"elec",0
15,4,1,0,0,0,"gas",1
16,1,0,15,25,7,"elec",0
16,2,0,15,25,6,"elec",0
16,3,0,25,30,8,"elec",0
16,4,1,0,0,0,"gas",1
17,1,0,25,30,6,"gas",0
17,2,0,20,25,7,"gas",0
17,3,0,20,20,7,"elec",0
17,4,1,0,0,0,"gas",1
18,1,0,20,30,7,"elec",0
18,2,0,20,25,8,"gas",0
18,3,0,20,30,6,"elec",0
18,4,1,0,0,0,"gas",1
19,1,0,15,20,6,"gas",0
19,2,0,15,20,6,"elec",0
19,3,0,25,20,6,"gas",0
19,4,1,0,0,0,"gas",1
20,1,0,15,30,6,"elec",0
20,2,0,15,25,8,"elec",0
20,3,0,15,20,6,"gas",0
20,4,1,0,0,0,"gas",1
21,1,0,20,25,8,"elec",0
21,2,0,15,30,8,"gas",0
21,3,0,20,20,6,"gas",0
21,4,1,0,0,0,"gas",1
22,1,0,25,20,7,"elec",0
22,2,0,15,20,7,"elec",0
22,3,0,15,20,7,"gas",0
22,4,1,0,0,0,"gas",1
23,1,0,25,30,8,"gas",0
23,2,0,25,30,6,"elec",0
23,3,0,25,25,8,"gas",0
23,4,1,0,0,0,"gas",1
24,1,0,15,25,8,"elec",0
24,2,0,20,25,8,"gas",0
24,3,0,25,25,6,"gas",0
24,4,1,0,0,0,"gas",1
25,1,0,25,20,7,"elec",0
25,2,0,20,30,7,"elec",0
25,3,0,15,20,8,"gas",0
25,4,1,0,0,0,"gas",1
26,1,0,25,25,7,"gas",0
26,2,0,25,30,6,"gas",0
26,3,0,25,20,8,"elec",0
26,4,1,0,0,0,"gas",1
27,1,0,20,20,8,"gas",0
27,2,0,15,30,8,"gas",0
27,3,0,15,25,7,"elec",0
27,4,1,0,0,0,"gas",1
28,1,0,15,20,6,"elec",0
28,2,0,25,25,6,"elec",0
28,3,0,20,25,8,"gas",0
28,4,1,0,0,0,"gas",1
29,1,0,15,30,8,"gas",0
29,2,0,15,30,7,"gas",0
29,3,0,25,25,7,"gas",0
29,4,1,0,0,0,"gas",1
30,1,0,20,30,6,"elec",0
30,2,0,20,20,6,"gas",0
30,3,0,15,20,7,"gas",0
30,4,1,0,0,0,"gas",1
31,1,0,15,25,6,"elec",0
31,2,0,25,30,6,"gas",0
31,3,0,15,20,7,"gas",0
31,4,1,0,0,0,"gas",1
32,1,0,15,20,8,"gas",0
32,2,0,20,30,7,"elec",0
32,3,0,15,30,6,"elec",0
32,4,1,0,0,0,"gas",1
33,1,0,15,20,8,"elec",0
33,2,0,20,30,6,"elec",0
33,3,0,25,30,6,"gas",0
33,4,1,0,0,0,"gas",1
34,1,0,15,30,7,"gas",0
34,2,0,20,20,6,"elec",0
34,3,0,25,30,8,"elec",0
34,4,1,0,0,0,"gas",1
35,1,0,15,20,6,"gas",0
35,2,0,25,20,8,"elec",0
35,3,0,15,30,7,"elec",0
35,4,1,0,0,0,"gas",1
36,1,0,20,25,7,"elec",0
36,2,0,25,20,7,"elec",0
36,3,0,15,25,7,"gas",0
36,4,1,0,0,0,"gas",1
37,1,0,20,30,6,"gas",0
37,2,0,25,25,6,"elec",0
37,3,0,15,20,7,"elec",0
37,4,1,0,0,0,"gas",1
38,1,0,15,25,8,"gas",0
38,2,0,15,30,6,"elec",0
38,3,0,25,20,6,"gas",0
38,4,1,0,0,0,"gas",1
39,1,0,15,20,8,"elec",0
39,2,0,15,20,6,"gas",0
39,3,0,25,20,7,"elec",0
39,4,1,0,0,0,"gas",1
40,1,0,25,25,7,"elec",0
40,2,0,25,25,6,"elec",0
40,3,0,20,30,6,"elec",0
40,4,1,0,0,0,"gas",1
41,1,0,25,20,7,"gas",0
41,2,0,20,20,8,"elec",0
41,3,0,15,30,8,"gas",0
41,4,1,0,0,0,"gas",1
42,1,0,25,25,7,"elec",0
42,2,0,20,30,8,"elec",0
42,3,0,25,30,6,"gas",0
42,4,1,0,0,0,"gas",1
43,1,0,25,30,6,"elec",0
43,2,0,25,20,6,"gas",0
43,3,0,25,30,8,"elec",0
43,4,1,0,0,0,"gas",1
44,1,0,25,25,6,"gas",0
44,2,0,15,30,8,"elec",0
44,3,0,25,20,7,"elec",0
44,4,1,0,0,0,"gas",1
45,1,0,20,20,8,"gas",0
45,2,0,25,30,7,"gas",0
45,3,0,20,25,6,"elec",0
45,4,1,0,0,0,"gas",1
46,1,0,15,30,6,"gas",0
46,2,0,20,20,7,"elec",0
46,3,0,15,30,7,"gas",0
46,4,1,0,0,0,"gas",1
47,1,0,15,20,6,"gas",0
47,2,0,20,20,8,"elec",0
47,3,0,25,25,8,"elec",0
47,4,1,0,0,0,"gas",1
48,1,0,15,20,8,"gas",0
48,2,0,15,25,8,"elec",0
48,3,0,25,20,6,"elec",0
48,4,1,0,0,0,"gas",1
49,1,0,15,30,6,"elec",0
49,2,0,15,30,7,"gas",0
49,3,0,20,25,7,"gas",0
49,4,1,0,0,0,"gas",1
50,1,0,15,20,7,"gas",0
50,2,0,20,30,7,"elec",0
50,3,0,25,30,8,"elec",0
50,4,1,0,0,0,"gas",1
51,1,0,20,20,6,"elec",0
51,2,0,25,20,7,"elec",0
51,3,0,15,30,8,"gas",0
51,4,1,0,0,0,"gas",1
52,1,0,15,25,7,"elec",0
52,2,0,15,25,8,"gas",0
52,3,0,20,20,6,"gas",0
52,4,1,0,0,0,"gas",1
53,1,0,20,20,8,"elec",0
53,2,0,15,25,6,"gas",0
53,3,0,20,30,6,"gas",0
